item_id,message,reply,reference,human_overall
h001,@SpotifyCares when is spotify coming to romania :/,"Hey there! We're launching in new countries as often as possible, but we don't have any updates to share just yet. We'll definitely let the right team know you'd like to see us there! Let us know if you need anything else.","Soon, we hope! We're launching in new countries as often as possible. Sign up here to be first to hear:",5.0
h002,"@SpotifyCares I am a Premium member and almost 8/10 times, a song will stop playing at 10 seconds and I will be forced to skip the song. Is there a way to fix this? I've already tried reinstalling the app several times.","Hey there, help's here! That definitely doesn't sound right. Can you let us know what device you're using? We'll see what we can suggest.",Hey there! That's not cool. What device and operating system are you using? We'll see what we can suggest,5.0
h003,"yo @115888 why dont you have Goofy Movie's ""Stand Out"" on there, @757529 needs answers","Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here:","Hey there! Just to check, what country is your Spotify account set to?",5.0
h004,Hey @SpotifyCares My premium payment failed but my card is good! I've tried to re-enter my info but keep getting the same error message!,Hi Steven! Could you send us a DM with your account's email address? We'll take a look backstage,"Hey Colette! Don't worry, we can look into this for you. Can you DM us your account's email address? We'll check things backstage",1.0
h005,@SpotifyCares can I change the download limit on my phone? To be able to download more songs?,"Hey! We don't have any info on changing the download limit right now, but we'll definitely pass your feedback along to the right team as something you'd like to see!",Hi Cameron! We've just sent a DM your way. Let's carry on chatting there,3.0
h006,@SpotifyCares can’t log in to my account,Hey there! We've just replied to your DM. Let's continue chatting there,"Hey Abdullah, help's here! Can you DM us your account's email address or username? We'll take a look backstage",5.0
h007,Is it only me? or @115888 browse is broken?,Hey there! Everything should be running smoothly now. Let us know if you're still getting issues,"Hi, help's here! Can you let us know your desktop's OS and Spotify versions? We'll see what we can suggest",3.0
h008,Keep the flow with ad-free music. Premium is just S$0.99 for 3 months. https://t.co/sC193hVJar,Hey Fiona! Could you let us know what's happening exactly? We'd love to help out,Hey Wendy! Can you DM us your account's email address? We'll take a look backstage,3.0
h009,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage,"Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍",5.0
h010,@115888 would be nice to have playlist specific shuffle settings.,Hey! We can see how having playlist-specific shuffle settings would be handy. Thanks for taking the time to reach out—your feedback's been noted 📝,Hey Bruno! We can see how that’d be useful. You can show your support and vote for the official idea here: Give us a shout if you need anything and we'll come running 🏃,5.0
h011,@115888 every time I pause my music to watch a video on Twitter I have to kill the Spotify app and reopen it just so my music will play again. Send help pls and thnx.,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hey, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest",5.0
h012,Old but gold. https://t.co/oUBeXgdaue,"Hey there, help's here! Could you DM us your account's email address? We'll take a look backstage 💚",Hi! We've replied to your DM. Check your inbox 🙂,5.0
h013,Keep the flow with ad-free music. Premium is just S$0.99 for 3 months. https://t.co/sC193hVJar,Hi there! Can you DM us your account's username or email address? We'll see what we can suggest,Hey Wendy! Can you DM us your account's email address? We'll take a look backstage,5.0
h014,WHY DOESN'T SPOTIFY HAVE AN OPTION TO ORGANIZE SONGS BY GENRE IM MAD @115888,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey Madi! We can see how that’d be useful. You can vote for the official idea here: 🙂,5.0
h015,@115888 needs to have an edit username option,Hey! We’ll get this passed onto the right team. Can you DM us your account's email address? We'll see what we can suggest,"Hey Robert! We're afraid it’s currently not possible to change your Spotify username, but you have some options here: Any questions, just give us a shout",3.0
h016,"@117153 Hi, can you link UPPBEAT - Embers (feat. Lawriii Craic &amp; Red The Future) to my Red The Future spotify account?","Good to know! If you ever need us again, just let us know. We're always here to help",Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up,2.0
h017,@115888 but when will we be able to see how long our play queue is,"Hey! This isn't possible at the moment. To help make this happen, you can show your support by voting here:",Hey! We have more info about the Play Queue at Let us know if there's anything else,2.0
h018,@115888 please work with @127972 to make your Roku app better. It’s terrible. I just want to be able to access my library and playlists.,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey Richard! We have some info about the Spotify app on Roku here: Give us a shout if there's anything else,5.0
h019,@115888 needs to have an edit username option,"Hey Anna! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see","Hey Robert! We're afraid it’s currently not possible to change your Spotify username, but you have some options here: Any questions, just give us a shout",2.0
h020,@SpotifyCares I cannot log into my account. Unfortunately the email address I signed up with is no longer a working email address. How Can I cancel my subscription?,"Hey, help's here! Could you DM us your account's username? We'll take a look backstage and help you sort this out.",Hi! We've just sent you a bit more info over DM. We'll carry on helping out there,5.0
h021,@SpotifyCares can’t log in to my account,"Hi, help's here! Could you DM us your email address and username? We'll take a look backstage 🎧","Hey Abdullah, help's here! Can you DM us your account's email address or username? We'll take a look backstage",4.0
h022,"@SpotifyCares I am a Premium member and almost 8/10 times, a song will stop playing at 10 seconds and I will be forced to skip the song. Is there a way to fix this? I've already tried reinstalling the app several times.","Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.",Hey there! That's not cool. What device and operating system are you using? We'll see what we can suggest,5.0
h023,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,"Hey Christopher! We appreciate your feedback, and we'll be sure to let the right folks know it's a feature you'd like to see","Hey Kyle, that's not cool! What Android and Spotify version are you using? We'll see what we can suggest",5.0
h024,@hulu_support @SpotifyCares Hulu randomly stopped working with my spotify account. Can I please have some help?,"Hey there, help's here! Can you DM us your account's email address? We'll take a look under the hood",Hey there! Is there anything we can help with? Just let us know what's happening exactly. We'd love to lend a hand,5.0
h025,@SpotifyCares when is spotify coming to romania :/,Thanks for reaching out! DM us the details and we'll take a look.,"Soon, we hope! We're launching in new countries as often as possible. Sign up here to be first to hear:",2.0
h026,"It’d be cool if you could look at the lyrics to a song you download right there in the app, rather than having to search for them. @115888 already does stuff with @9743 so why not make it a thing on all songs?",Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,"Hi Thomas! Thanks for your feedback. We'll pass it on to the right folks. For now, you can check out SoundHound:",4.0
h027,"@115888 hi, last month you had a #Laurynhill #live #megamix in a discovery playlist..... I NEED it in my life....can you find it?",Availability can vary by region/licensing. DM us the track/podcast name and your country.,"Hi there! Don't worry, help's here. Just to clarify, could you let us know the name of the song you're referring to?",4.0
h028,@SpotifyCares - can't change my country to the US from the UK - please assist,We can help you get back in. Please DM us the email on the account (never your password).,"Hey Michael! Do you get an error message when trying to change the country settings? If you do, can you send us a screenshot of it? Also, can you DM us your account's email address? We'll take a look backstage",4.0
