root_id,message,gold_intent,trivial_pred,simple_pred,llm_pred,llm_confidence,gold_escalate,pred_escalate,pred_escalate_reason
2346336,"@SpotifyCares Someone has hacked my spotify account.
 My id: __email__

I have been charged today via Paypal but I cannot Access my account for it says that there is no such email in the database. I also have received and email saying that my email Access has been changed",account_access,other,account_access,account_access,0.95,True,True,Escalate: message contains legal/security/risk language.
523586,@115888 FIX YOUR SHIT I GOT ONE OF THOSE NEXT 30 MINUTES ARE AD FREE THINGS LESS THAN 8 MINUTES AGO https://t.co/cq7lnVG4x1,feature_complaint,other,other,billing_subscription,0.95,False,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1902073,@115888 i am the keeper of the keys for our family premium account but can't seem to gain access to change payment to a different card.,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1927603,@115888 needs an explicit songs filter (for children)! Other players have it. Oh and Apple TV app would be awesome in our house.,feature_complaint,other,content_catalog,feature_complaint,1.0,False,False,"Auto-handle: 'feature_complaint' with confidence 1.00, no risk signals."
415877,I fr hate @115888  so much I can’t fucking update my subscription to premium I will stick to @115948,billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2296583,@115888 will Spotify ever come to Bangladesh?,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
1990018,Why can’t I log into my Spotify account @SpotifyCares I’m in the uk and have been for 10 months not a happy bunny. https://t.co/0Xps7RrF74,account_access,other,account_access,account_access,0.99,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
563500,@115888 persona 5 ost in Spotify please?? https://t.co/rWaKaVrNyf,content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
2306962,"@SpotifyCares Hi, the latest @90803 podcast from last Friday has showed up yet. Any ideas?",content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
2916580,@115888 please work with @127972 to make your Roku app better. It’s terrible. I just want to be able to access my library and playlists.,feature_complaint,other,feature_complaint,feature_complaint,0.85,False,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
