item_id,pair_id,root_id,system
h001,45,703199,grounded
h002,48,1043543,grounded
h003,5,2695684,nearest
h004,56,1963919,nearest
h005,27,681872,grounded
h006,65,1797204,nearest
h007,74,1217795,nearest
h008,11,617471,nearest
h009,41,2896723,nearest
h010,108,510478,grounded
h011,19,608247,trivial
h012,63,324629,grounded
h013,12,617471,grounded
h014,37,1749853,trivial
h015,90,2978430,grounded
h016,92,1943610,nearest
h017,110,21144,nearest
h018,1,2916580,trivial
h019,89,2978430,nearest
h020,105,1162369,grounded
h021,66,1797204,grounded
h022,46,1043543,trivial
h023,32,2259585,nearest
h024,71,1767677,nearest
h025,43,703199,trivial
h026,13,2095139,trivial
h027,16,387708,trivial
h028,115,106305,trivial
h029,77,2762986,nearest
h030,98,2019663,nearest
h031,25,681872,trivial
h032,79,1514554,trivial
h033,23,1537076,nearest
h034,97,2019663,trivial
h035,57,1963919,grounded
h036,111,21144,grounded
h037,31,2259585,trivial
h038,54,1910217,grounded
h039,119,1884485,nearest
h040,10,617471,trivial
h041,34,2026579,trivial
h042,26,681872,nearest
h043,70,1767677,trivial
h044,29,44423,nearest
h045,99,2019663,grounded
h046,86,2904482,nearest
h047,6,2695684,grounded
h048,91,1943610,trivial
h049,69,1746275,grounded
h050,40,2896723,trivial
h051,50,2032670,nearest
h052,36,2026579,grounded
h053,17,387708,nearest
h054,67,1746275,trivial
h055,35,2026579,nearest
h056,114,2380923,grounded
h057,8,1248468,nearest
h058,44,703199,nearest
h059,73,1217795,trivial
h060,68,1746275,nearest
h061,84,1365043,grounded
h062,28,44423,trivial
h063,20,608247,nearest
h064,96,906949,grounded
h065,101,1144852,nearest
h066,9,1248468,grounded
h067,14,2095139,nearest
h068,85,2904482,trivial
h069,4,2695684,trivial
h070,18,387708,grounded
h071,39,1749853,grounded
h072,118,1884485,trivial
h073,7,1248468,trivial
h074,78,2762986,grounded
h075,112,2380923,trivial
h076,95,906949,nearest
h077,55,1963919,trivial
h078,51,2032670,grounded
h079,81,1514554,grounded
h080,47,1043543,nearest
h081,82,1365043,trivial
h082,62,324629,nearest
h083,117,106305,grounded
h084,80,1514554,nearest
h085,94,906949,trivial
h086,42,2896723,grounded
h087,59,2512094,nearest
h088,49,2032670,trivial
h089,102,1144852,grounded
h090,58,2512094,trivial
h091,76,2762986,trivial
h092,33,2259585,grounded
h093,113,2380923,nearest
h094,60,2512094,grounded
h095,64,1797204,trivial
h096,106,510478,trivial
h097,38,1749853,nearest
h098,30,44423,grounded
h099,116,106305,nearest
h100,2,2916580,nearest
h101,53,1910217,nearest
h102,22,1537076,trivial
h103,3,2916580,grounded
h104,24,1537076,grounded
h105,104,1162369,nearest
h106,100,1144852,trivial
h107,88,2978430,trivial
h108,109,21144,trivial
h109,75,1217795,grounded
h110,87,2904482,grounded
h111,83,1365043,nearest
h112,120,1884485,grounded
h113,21,608247,grounded
h114,61,324629,trivial
h115,72,1767677,grounded
h116,107,510478,nearest
h117,15,2095139,grounded
h118,93,1943610,grounded
h119,52,1910217,trivial
h120,103,1162369,trivial
