item_id,message,reply,reference,human_overall
h01,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood,Hey! Can you DM us your account's username and email address? We'll take a look backstage,
h02,@SpotifyCares can i download podcasts to a samsung gear sport and listen to offline or it only works with music?,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage,"Hey Alvaro! That'd be awesome, but it only works with music. We'll let the right team know it's something you'd like to see 😉",
h03,"@SpotifyCares I am a Premium member and almost 8/10 times, a song will stop playing at 10 seconds and I will be forced to skip the song. Is there a way to fix this? I've already tried reinstalling the app several times.","Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.",Hey there! That's not cool. What device and operating system are you using? We'll see what we can suggest,
h04,I have been waiting over a year now for @115888 to be available in my country.,Hey! We're launching regularly in countries around the world. We'd love to bring your favorite content everywhere soon—stay tuned for updates!,Hey there! We're launching in new countries as often as possible. Sign up here to be first to hear: 🙂,
h05,"It’d be cool if you could look at the lyrics to a song you download right there in the app, rather than having to search for them. @115888 already does stuff with @9743 so why not make it a thing on all songs?",Hey! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝,"Hi Thomas! Thanks for your feedback. We'll pass it on to the right folks. For now, you can check out SoundHound:",
h06,WHY DOESN'T SPOTIFY HAVE AN OPTION TO ORGANIZE SONGS BY GENRE IM MAD @115888,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey Madi! We can see how that’d be useful. You can vote for the official idea here: 🙂,
h07,"@115888 Hi my name is Diana and I do not have an account with you guys, but I have recently had unauthorized charges on my bank account for Spotify since August 8, 2017 of $9.99. Multiple charges followed of the same amount September &amp; October.","Hey Dylan, that's not cool! Can you DM us the best email address we can use to reach you? We'll help out backstage","Hey Diana! Don't worry, we're here to help. Can you send us any email addresses you have via DM? We'll check backstage",
h08,@SpotifyCares please help! Just updated to iOS 11 and the widget keeps getting locked from lock screen on song I’m not actually on... https://t.co/W4lDN0tewQ,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hey Seth, help's here! Can you let us know the iPhone model and Spotify version you're using? We'll see what we can suggest",
h09,"Mereka pake bhs. Inggris, intinya sy mau berhenti langganan, tp gabisa masuk akun.. Udh itu aja gausah dilempar sana sini, klo bisa bantu https://t.co/f3pNLe0xu6",You can manage or cancel Premium under Account > Subscription. DM us if you need a hand.,Hey Refki! We'd be happy to help you out in English here on Twitter. Could you DM us your account's email address? We'll check backstage,
h10,@115888 every time I pause my music to watch a video on Twitter I have to kill the Spotify app and reopen it just so my music will play again. Send help pls and thnx.,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hey, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest",
h11,Why do I pay $10 a month for @115888 when it cuts out for 2 seconds like 20 times a song lol 🙃🙃,Hey there! Can you DM us your account's email address or username? We'll take a look,"Hey there! Can you let us know which device and operating system you're using? Also, is this happening over WiFi or 3G/4G?",
h12,"@SpotifyCares Hi, i want to upgrade to premium. On computer i get the offer ""3. months for 99,00 kr."", but on playstation i dont see the offer. Is it possible to use this offer on playstation?",Thanks for flagging — please DM us the email on the account and we'll review the charge.,Hey Morten! We've just sent you a bit more info over DM. We'll carry on helping out there,
h13,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage,"Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍",
h14,please have @248108 albums on @115888,"Hey there! We’d love to have all of his stuff available, but we have some info about content here:","Hey there! We’d love to have all of that available, but we have some info about content here:",
h15,@SpotifyCares I cannot log into my account. Unfortunately the email address I signed up with is no longer a working email address. How Can I cancel my subscription?,"Hi Cathal, help's here! Could you Dm us your email address and username? We'll take a look backstage 🔍",Hi! We've just sent you a bit more info over DM. We'll carry on helping out there,
h16,@SpotifyCares can I change the download limit on my phone? To be able to download more songs?,"Hey! We don't have any info on changing the download limit right now, but we'll definitely pass your feedback along to the right team as something you'd like to see!",Hi Cameron! We've just sent a DM your way. Let's carry on chatting there,
h17,"@SpotifyCares when can we expect an update for the roku app? The UI is dreadful, especially considering roku's my primary device.","Hey there! We hear you. We don't have any info on this right now, but rest assured your feedback about the Roku app UI will be passed on to the right folks. Let us know if you have any other questions!","Hey! We don't have a specific timeline. Rest assured, your feedback is being heard while we work with Roku on the best path forwards",
h18,Is it only me? or @115888 browse is broken?,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hi, help's here! Can you let us know your desktop's OS and Spotify versions? We'll see what we can suggest",
h19,@115888 please work with @127972 to make your Roku app better. It’s terrible. I just want to be able to access my library and playlists.,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey Richard! We have some info about the Spotify app on Roku here: Give us a shout if there's anything else,
h20,@SpotifyCares I’ve caught this unknown device a few times already. Should I change passwords? @389450 https://t.co/35sMHQxD1e,We can help you get back in. Please DM us the email on the account (never your password).,Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage,
h21,"@115888 hi, last month you had a #Laurynhill #live #megamix in a discovery playlist..... I NEED it in my life....can you find it?","Hey there! We’d love to have that mix for you, as music comes and goes based on licensing, but we’ll share your feedback with the team! 🎶","Hi there! Don't worry, help's here. Just to clarify, could you let us know the name of the song you're referring to?",
h22,"I have Spotify premium and my music won't play, even on wifi. Cool thanks for wasting my money. @115888","Hey! That's definitely not what you should expect with Premium. We can help with this. What's happening exactly, and what device are you using? We'll take a look!",Hey there! Could you DM us your account's username and email address? We'll take a look backstage,
h23,"yo @115888 why dont you have Goofy Movie's ""Stand Out"" on there, @757529 needs answers","Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here:","Hey there! Just to check, what country is your Spotify account set to?",
h24,@115888 needs to have an edit username option,Hey! We’ll get this passed onto the right team. Can you DM us your account's email address? We'll see what we can suggest,"Hey Robert! We're afraid it’s currently not possible to change your Spotify username, but you have some options here: Any questions, just give us a shout",
h25,@SpotifyCares can’t log in to my account,We can help you get back in. Please DM us the email on the account (never your password).,"Hey Abdullah, help's here! Can you DM us your account's email address or username? We'll take a look backstage",
